stop_id,ligne,stop_name,stop_desc,stop_lat,stop_lon
10VAB1,4,VAL L'ABBE,,49.643104,-1.651557
10VAB2,4,VAL L'ABBE,,49.643118,-1.651418
10VCA1,0,VAL CANU,,49.638750,-1.545661
10VCA2,0,VAL CANU,,49.638352,-1.545440
10VCA3,0,VAL CANU,,49.638353,-1.544687
10VCA4,0,VAL CANU,,49.638595,-1.543888
10VDT1,6,VINDITS,,49.634494,-1.653700
10VDT2,6,VINDITS,,49.634542,-1.652517
10VER1,0,VERRERIE,,49.607373,-1.571698
10VER2,0,VERRERIE,,49.607374,-1.572453
10VGN1,0,VIGNIERES,,49.663346,-1.701923
10VIG1,0,VIGNY,,49.647874,-1.660694
10VIG2,0,VIGNY,,49.647771,-1.660991
10VOL1,2,VOLTAIRE,,49.631539,-1.638537
10VOL2,2,VOLTAIRE,,49.631626,-1.638546
10VTO1,0,VIEUX TOT,,49.643606,-1.658291
10VTO2,0,VIEUX TOT,,49.643747,-1.657940
10XCT1,3,OCTROI,,49.638969,-1.606605
10XCT2,3,OCTROI,,49.639116,-1.606157
10ZCT1,0,TOLLEVAST ZA,,49.597402,-1.601623
10ZFO1,6,ZA LES FOURCHES,,49.631646,-1.655769
10ZFO2,6,ZA LES FOURCHES,,49.631726,-1.655823
10ZOL1,3,ZOLA,,49.647335,-1.668946
10ZOL2,3,ZOLA,,49.647611,-1.668529
10ZPH1,5,DEPOT CAP COTENTIN,,49.637883,-1.586362
10ZPH2,5,DEPOT CAP COTENTIN,,49.637912,-1.586440
10ZSA3,6,SAUXMARAIS,,49.634948,-1.583380
10ZSA4,6,SAUXMARAIS,,49.634910,-1.583517
ANNPC1,0,ANNEVILLE EN SAIRE PLACE CENTRALE,,49.635312,-1.286064
ANNPC2,0,ANNEVILLE EN SAIRE PLACE CENTRALE,,49.635223,-1.286199
BARMA1,0,BARFLEUR MAIRIE,,49.669252,-1.266387
BARMA2,0,BARFLEUR Mairie,,49.668724,-1.267679
BARPL2,0,BARNEVILLE CARTERET Plage-Pole Jeunesse,,49.369552,-1.767106
BARVAL,0,BARNEVILLE CARTERET Le Valnotte,,49.380619,-1.781630
BCQANG,0,BRICQUEBEC EN COTENTIN Ancienne Gare,,49.471346,-1.639203
BCQBG1,0,QUETTETOT Le Bourg,,49.487822,-1.666844
BCQBG2,0,QUETTETOT Le Bourg,,49.487838,-1.667117
BCQCOL,0,BRICQUEBEC EN COTENTIN College,,49.468732,-1.631194
BENBG1,0,BENOITVILLE Le Bourg,,49.526397,-1.781873
BENBG2,0,BENOITVILLE Le Bourg,,49.526299,-1.782130
BENCG1,0,BENOITVILLE La Croix Georges,,49.534862,-1.774913
BENCG2,0,BENOITVILLE La Croix Georges,,49.535114,-1.775234
BERCRB,0,BERTEAUVILLE La Croix de Berteauville,,49.600359,-1.398430
BIVCF1,0,BIVILLE La Croix Frimot,,49.615318,-1.795507
BIVCF2,0,BIVILLE La Croix Frimot,,49.615262,-1.794243
BIVEC1,0,BIVILLE Ecole,,49.613390,-1.819988
BIVEC2,0,BIVILLE Ecole,,49.613346,-1.819943
BIVHB1,0,BIVILLE Haut de Biville,,49.621811,-1.803647
BIVHB2,0,BIVILLE Haut de Biville,,49.621706,-1.803583
BIVHD1,0,BIVILLE Hameau David,,49.617557,-1.811261
BIVHD2,0,BIVILLE Hameau David,,49.617544,-1.811384
BIVHM1,0,BIVILLE Hameau Moulin,,49.613269,-1.811742
BIVHM2,0,BIVILLE Hameau Moulin,,49.613248,-1.811810
BNVMA1,0,BARNEVILLE CARTERET Mairie,,49.382523,-1.755630
BNVMA2,0,BARNEVILLE CARTERET Mairie,,49.382436,-1.755664
BREPG1,0,BRETTEVILLE La Plage,,49.657234,-1.519553
BREPG2,0,BRETTEVILLE La Plage,,49.657161,-1.519505
BRESG1,0,BRETTEVILLE Saint Germain,,49.654585,-1.530023
BRESG2,0,BRETTEVILLE Saint Germain,,49.654595,-1.529705
BRIPN1,0,BRICQUEBOSQ Pont de Neuville,,49.537033,-1.717367
BRIPN2,0,BRICQUEBOSQ Pont de Neuville,,49.537017,-1.717836
BRXBP1,0,BRIX Beau Parle,,49.563376,-1.589737
BRXBP2,0,BRIX Beau Parle,,49.563663,-1.589862
BRXSTA,0,BRIX Le Stade,,49.548247,-1.58164
CANBOU,0,CANTELOUP Le Bourg,,49.645327,-1.352349
CLIEGL,0,CLITOURPS Eglise,,49.656842,-1.373872
COLFR1,0,COLOMBY Foyer Rural,,49.455819,-1.492727
COLFR2,0,COLOMBY Foyer Rural,,49.455834,-1.492811
VALGS1,2-3,VALOGNES Gare SNCF,,49.505101,-1.479317
VALGS2,2-3,VALOGNES Gare SNCF,,49.505393,-1.478708
VALHO1,0,VALOGNES Hopital,,49.503422,-1.464169
VALHO2,0,VALOGNES Hopital,,49.503499,-1.464370
VALZA1,0,VALOGNES ZA Armanville,,49.511997,-1.497304
VALZA2,0,VALOGNES ZA Armanville,,49.511926,-1.497541
SPEPC1,0,SAINT PIERRE EGLISE Place Centrale,,49.668442,-1.404438
SPEPC2,0,SAINT PIERRE EGLISE Place Centrale,,49.668285,-1.404437
SSVCOL,0,SAINT SAUVEUR LE VICOMTE College,,49.390700,-1.532834
SSVMA1,0,SAINT SAUVEUR LE VICOMTE Mairie,,49.387060,-1.529666
SSVMA2,0,SAINT SAUVEUR LE VICOMTE Mairie,,49.386890,-1.529350
SURGIT,0,SURTAINVILLE Les Gites,,49.462152,-1.827203
SURPKE,0,SURTAINVILLE Parking Ecoles,,49.454059,-1.809918
SVPBI1,0,SAINT VAAST LA HOUGUE Place Belle Isle,,49.588989,-1.266113
